Pressure,Diameter
10.0489,104.118,
10.8121,105.529,
12.2114,108.176,
13.2290,109.588,
14.5010,111.529,
16.2818,114,
17.6810,115.588,
19.5890,118.059,
21.1155,119.471,
24.5499,122.471,
26.3307,124.235,
30.0196,126.176,
34.3444,127.588,
37.6517,128.118,
42.7397,128.471,
45.6654,127.941,
51.1350,124.765,
57.3679,120.353,
59.2759,118.588,
63.2192,115.412,
66.5264,112.412,
70.0881,109.941,
73.5225,107.471,
77.0842,105.176,
82.8082,101.824,
84.4618,100.588,
87.1331,99.5294,
90.5675,97.7647,
94.1292,96,
98.1996,94.7647,
104.941,91.9412,
110.029,90.5294,
117.534,88.0588,
123.131,87,
127.329,85.9412,
