Pressure,Diameter
15.1318,114.637,
17.4588,116.795,
18.9120,118.357,
22.6242,121.168,
26.9923,124.321,
29.1761,125.940,
33.5818,122.454,
36.8862,119.819,
38.8680,118.374,
39.7534,116.927,
40.6508,113.354,
42.6581,107.398,
44.2182,102.974,
45.7793,98.3794,
47.7784,93.8705,
49.1235,88.6801,
50.6692,86.8091,
53.3149,84.3149,
56.4004,81.5941,
59.1916,79.2135,
62.2721,77.4005,
66.3772,75.3615,
69.3104,73.7186,
75.4639,71.3976,
80.4439,69.7564,
87.6192,67.7200,
93.9140,66.2501,
99.4756,65.1769,
106.500,64.0481,
112.498,63.2021,
119.375,62.2434,
124.056,61.8503,
129.029,61.5141,
134.732,61.1218,
141.021,60.7867,
145.407,60.8472,
150.377,60.9081,
156.078,60.9697,
162.655,61.3725,
166.600,61.7163,
172.445,62.2319,
177.559,62.9171,
180.773,63.3170,
185.010,63.8312,
188.952,64.6289,
193.773,65.2571,
197.864,65.8280,
198.739,66.1124,
